,training_loss,testing_loss
832,0.32336268,0.34371218
833,0.32337683,0.34370184
834,0.3233531,0.34369576
835,0.32335958,0.34368807
836,0.32334775,0.34367934
837,0.32333887,0.34367287
838,0.32335502,0.34366032
839,0.32334834,0.34365582
840,0.3233364,0.34364802
841,0.32333422,0.3436384
842,0.32332313,0.34363037
843,0.32330894,0.34362608
844,0.32330567,0.34361833
845,0.32329735,0.3436102
846,0.32328665,0.34359843
847,0.32326943,0.34359488
848,0.3232955,0.34359223
849,0.32329804,0.3435792
850,0.32328945,0.34356976
851,0.3232586,0.34356335
852,0.32327053,0.34355813
853,0.32327175,0.34355402
854,0.32326752,0.34354365
855,0.3232711,0.34353822
856,0.32325754,0.34353182
857,0.323241,0.34352165
858,0.32322672,0.3435149
859,0.32324752,0.34351298
860,0.32325736,0.34351012
861,0.32325047,0.34350577
862,0.32324246,0.343492
863,0.3232074,0.34348157
864,0.32320958,0.3434735
865,0.32319793,0.34347016
866,0.323194,0.34346586
867,0.32320005,0.34345764
868,0.3231861,0.34344837
869,0.32318896,0.34344375
870,0.3231743,0.34343654
871,0.32315037,0.3434307
872,0.32315898,0.3434243
873,0.32316962,0.34341985
874,0.3231271,0.3434136
875,0.3231337,0.34340683
876,0.32309544,0.34340215
877,0.32311124,0.34339473
878,0.32306325,0.34338695
879,0.32306588,0.34337476
880,0.32307112,0.34337002
881,0.32303423,0.34336126
882,0.32306185,0.34335017
883,0.32304206,0.34334457
884,0.32300943,0.34333688
885,0.32299903,0.34332952
886,0.32296374,0.34331915
887,0.32298476,0.34331366
888,0.32297772,0.34330255
889,0.32297358,0.34330013
890,0.3229447,0.34328943
891,0.32293972,0.343279
892,0.32296926,0.34326947
893,0.32294846,0.34326458
894,0.32294998,0.3432566
895,0.3229479,0.3432516
896,0.32294634,0.3432384
897,0.32293415,0.34323815
898,0.3229273,0.34322318
899,0.32292494,0.34322554
900,0.32291427,0.34322047
901,0.32289058,0.34321612
902,0.32289726,0.3432107
903,0.32290024,0.34319693
904,0.32286742,0.34318787
905,0.32286954,0.34318542
906,0.3228575,0.34317377
907,0.32284886,0.34317178
908,0.322846,0.34316203
909,0.3228547,0.34315592
910,0.32281977,0.34314674
911,0.3228491,0.3431396
912,0.32282904,0.343131
913,0.32280928,0.34313002
914,0.32280704,0.3431157
915,0.322822,0.34310916
916,0.3227918,0.34310237
917,0.32282072,0.34309956
918,0.322817,0.34309423
919,0.32279444,0.3430866
920,0.3228221,0.34308323
921,0.32279018,0.34307328
922,0.32278612,0.3430635
923,0.32278594,0.3430643
924,0.3227873,0.3430549
925,0.3227602,0.34305248
926,0.3227709,0.34304118
927,0.32274777,0.3430332
928,0.32276776,0.34302697
929,0.32271582,0.3430207
930,0.32277706,0.34301296
931,0.32272387,0.3430014
932,0.3226872,0.34299847
933,0.3227298,0.34299427
934,0.32272944,0.34298438
935,0.32269868,0.34297675
936,0.32273227,0.34296736
937,0.32269722,0.34296328
938,0.3227139,0.34295762
939,0.32268745,0.34295258
940,0.3227027,0.3429488
941,0.32270843,0.34294102
942,0.32272813,0.34293473
943,0.32273942,0.34293073
