Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 7.85714e-07, 0.514286, 0.542857, 0, 1.52436e-06, 0.392814
5, 7.85714e-07, 0.514286, 0.542857, 1, 1.4555e-06, -2.86898e-05
5, 7.85714e-07, 0.514286, 0.6, 0, 1.53474e-06, 0.389014
5, 7.85714e-07, 0.514286, 0.6, 1, 1.46632e-06, -3.12966e-05
5, 7.85714e-07, 0.571429, 0.2, 0, 1.48984e-06, 0.198651
5, 7.85714e-07, 0.571429, 0.2, 1, 1.54525e-06, -0.000213348
5, 7.85714e-07, 0.571429, 0.257143, 0, 1.49548e-06, 0.225401
5, 7.85714e-07, 0.571429, 0.257143, 1, 1.52879e-06, -0.000125043
5, 7.85714e-07, 0.571429, 0.314286, 0, 1.50547e-06, 0.253125
5, 7.85714e-07, 0.571429, 0.314286, 1, 1.43304e-06, -6.1677e-05
5, 7.85714e-07, 0.571429, 0.371429, 0, 1.51558e-06, 0.2852
5, 7.85714e-07, 0.571429, 0.371429, 1, 1.54374e-06, -9.721e-05
5, 7.85714e-07, 0.571429, 0.428571, 0, 1.52436e-06, 0.322264
5, 7.85714e-07, 0.571429, 0.428571, 1, 1.48563e-06, -5.7774e-05
5, 7.85714e-07, 0.571429, 0.485714, 0, 1.53176e-06, 0.359661
5, 7.85714e-07, 0.571429, 0.485714, 1, 1.44617e-06, -3.52428e-05
5, 7.85714e-07, 0.571429, 0.542857, 0, 1.54073e-06, 0.39449
5, 7.85714e-07, 0.571429, 0.542857, 1, 1.44617e-06, -3.02952e-05
5, 7.85714e-07, 0.571429, 0.6, 0, 1.54828e-06, 0.415949
5, 7.85714e-07, 0.571429, 0.6, 1, 1.44617e-06, -2.92473e-05
5, 7.85714e-07, 0.628571, 0.2, 0, 1.51268e-06, 0.197925
5, 7.85714e-07, 0.628571, 0.2, 1, 1.5498e-06, -0.000147358
5, 7.85714e-07, 0.628571, 0.257143, 0, 1.51996e-06, 0.223977
5, 7.85714e-07, 0.628571, 0.257143, 1, 1.53923e-06, -0.000138568
5, 7.85714e-07, 0.628571, 0.314286, 0, 1.52879e-06, 0.254192
